order_id,customer_id,product,price,quantity,date,total
0,1335,Teclado,208.31,4.0,2025-06-13 06:10:32,833.24
1,1245,Mouse,458.87,1.0,2025-06-11 09:31:16,458.87
2,1294,Monitor,323.42,4.0,2025-06-24 00:06:57,1293.68
3,1039,Mouse,434.54,1.0,2025-08-31 01:07:58,434.54
4,1998,Notebook,43.73,4.0,2025-10-20 06:51:19,174.92
5,1917,Teclado,323.21,2.0,2025-06-10 17:37:27,646.42
6,1825,Teclado,349.07,1.0,2026-03-05 18:21:13,349.07
7,1772,Monitor,473.15,3.0,2025-07-04 22:47:25,1419.4499999999998
8,1063,Monitor,60.47,3.0,2025-04-10 22:08:55,181.41
9,1994,Mouse,466.85,4.0,2025-09-08 08:29:27,1867.4
10,1965,Monitor,256.8124211053598,1.0,2025-08-15 09:46:34,256.8124211053598
11,1895,Notebook,256.8124211053598,1.0,2025-06-30 05:00:42,256.8124211053598
12,1169,Mouse,256.8124211053598,2.0,2025-07-01 03:03:58,513.6248422107196
13,1784,Mouse,256.8124211053598,3.0,2025-12-10 13:21:28,770.4372633160795
14,1897,Teclado,256.8124211053598,1.0,2025-10-19 15:15:07,256.8124211053598
15,1275,Notebook,256.8124211053598,4.0,2026-02-06 10:21:19,1027.2496844214393
16,1496,Monitor,256.8124211053598,4.0,2025-11-24 07:30:59,1027.2496844214393
17,1700,Teclado,256.8124211053598,1.0,2025-08-24 20:47:15,256.8124211053598
18,1384,Teclado,256.8124211053598,4.0,2026-02-11 16:10:31,1027.2496844214393
19,1369,Notebook,256.8124211053598,4.0,2026-02-24 04:15:28,1027.2496844214393
20,1905,Monitor,256.8124211053598,4.0,2026-03-28 11:01:57,1027.2496844214393
21,1969,Teclado,427.41,1.0,2025-06-08 03:06:49,427.41
22,1959,Teclado,245.82,1.0,2026-03-14 15:05:45,245.82
23,1036,Mouse,127.57,2.0,2026-03-22 15:01:44,255.14
24,1997,Mouse,348.67,1.0,2025-05-26 17:09:52,348.67
25,1604,Teclado,118.36,1.0,2026-02-16 07:54:07,118.36
26,1928,Monitor,315.22,1.0,2025-10-21 14:08:28,315.22
27,1123,Notebook,259.47,4.0,2026-02-09 22:09:07,1037.88
28,1674,Mouse,171.05,1.0,2026-04-01 00:36:49,171.05
29,1885,Teclado,462.5,4.0,2025-10-19 10:59:44,1850.0
30,1087,Teclado,265.17,1.0,2026-02-15 04:29:14,265.17
31,1408,Mouse,406.03,1.0,2026-02-25 10:37:06,406.03
