order_id,customer_id,product,price,quantity,date
0,1335,Teclado,208.31,4.0,2025-06-13 06:10:32
1,1245,Mouse,458.87,1.0,2025-06-11 09:31:16
2,1294,Monitor,323.42,4.0,2025-06-24 00:06:57
3,1039,Mouse,434.54,1.0,2025-08-31 01:07:58
4,1998,Notebook,43.73,4.0,2025-10-20 06:51:19
5,1917,Teclado,323.21,2.0,2025-06-10 17:37:27
6,1825,Teclado,349.07,1.0,2026-03-05 18:21:13
7,1772,Monitor,473.15,3.0,2025-07-04 22:47:25
8,1063,Monitor,60.47,3.0,2025-04-10 22:08:55
9,1994,Mouse,466.85,4.0,2025-09-08 08:29:27
10,1965,Monitor,,1.0,2025-08-15 09:46:34
11,1895,Notebook,,1.0,2025-06-30 05:00:42
12,1169,Mouse,,2.0,2025-07-01 03:03:58
13,1784,Mouse,,3.0,2025-12-10 13:21:28
14,1897,Teclado,,1.0,2025-10-19 15:15:07
15,1275,Notebook,,4.0,2026-02-06 10:21:19
16,1496,Monitor,,4.0,2025-11-24 07:30:59
17,1700,Teclado,,1.0,2025-08-24 20:47:15
18,1384,Teclado,,4.0,2026-02-11 16:10:31
19,1369,Notebook,,4.0,2026-02-24 04:15:28
20,1905,Monitor,,4.0,2026-03-28 11:01:57
21,1969,Teclado,427.41,1.0,2025-06-08 03:06:49
22,1959,Teclado,245.82,1.0,2026-03-14 15:05:45
23,1036,Mouse,127.57,2.0,2026-03-22 15:01:44
24,1997,Mouse,348.67,1.0,2025-05-26 17:09:52
25,1604,Teclado,118.36,1.0,2026-02-16 07:54:07
26,1928,Monitor,315.22,1.0,2025-10-21 14:08:28
27,1123,Notebook,259.47,4.0,2026-02-09 22:09:07
28,1674,Mouse,171.05,1.0,2026-04-01 00:36:49
29,1885,Teclado,462.5,4.0,2025-10-19 10:59:44
30,1087,Teclado,265.17,,2026-02-15 04:29:14
31,1408,Mouse,406.03,,2026-02-25 10:37:06
32,1378,Monitor,442.85,,2025-11-13 06:23:47
33,1045,Mouse,482.07,,2025-05-14 06:30:43
34,1169,Teclado,49.71,,2025-12-19 06:30:03
35,1452,Notebook,180.7,,2025-08-05 23:55:12
36,1936,Mouse,128.21,4.0,2025-07-12 11:53:51
37,1728,Monitor,402.11,3.0,2025-04-05 08:49:26
38,1631,Notebook,320.01,2.0,2025-10-20 02:44:05
39,1547,Mouse,391.73,3.0,2025-04-28 21:43:35
40,1679,Notebook,382.09,1.0,2025-11-08 02:01:37
41,1237,Teclado,47.19,4.0,2026-01-31 17:27:07
42,1515,Mouse,218.78,4.0,2025-09-04 11:45:48
43,1252,Notebook,283.78,3.0,2026-02-21 11:00:11
44,1495,Mouse,27.3,1.0,2025-09-09 19:54:51
45,1698,Teclado,94.47,3.0,2025-05-26 14:44:19
46,1962,Notebook,405.69,4.0,2025-10-12 01:42:36
47,1319,Monitor,478.85,4.0,2025-10-26 03:48:11
48,1118,Teclado,259.0,2.0,2025-11-08 16:45:54
49,1792,Notebook,374.23,4.0,2025-11-18 21:00:10
50,1701,Notebook,146.54,3.0,2025-05-28 16:42:15
